"Starfsemi","ÍSAT2008"
"Ávextir, heildsala","46310"
"Ávextir, pökkun","01610"
"Ávextir, ræktun","012"
"Ávextir, smásala","47210"
"Ávextir, vinnsla","10390"
"Áætlunarbifreiðar, framleiðsla","29100"
"Áætlunarbílar, heild- og smásala","45199"
"Áætlunarferðir með hópferðabílum","49390"
"Áætlunarflug","51101"
"Baðföt, framleiðsla","14190"
"Baðföt, heildsala","46420"
"Baðföt, smásala","47711"
"Baðherbergismunir úr leir eða postulíni, framleiðsla","23410"
"Baðker úr plasti, framleiðsla","22230"
"Baðker úr postulíni, framleiðsla","23420"
"Baðkör, heildsala","46730"
"Baðkör, keramík, framleiðsla","23420"
"Baðkör, plast, framleiðsla","22230"
"Baðkör, sink, framleiðsla","25990"
"Baðmull, ræktun","01160"
"Baðolíur, framleiðsla","20420"
"Baðstrandastarfsemi","93290"
"Baðsölt, framleiðsla","20420"
"Bakarí","10710"
"Bakarísvörur, heildsala","46360"
"Bakkar úr álpappír, framleiðsla","25910"
"Bakkar úr pappa, framleiðsla","17220"
"Balsam, söfnun","02300"
"Bananar, ræktun","01220"
"Bankar","64190"
"Barir","56300"
"Barnafataverslanir","47712"
"Barnaföt, heildsala","46420"
"Barnaföt, smásala","47712"
"Barnaheimili, sólarhringsumönnun","87900"
"Barnakerrur, framleiðsla","30920"
"Barnamatur, framleiðsla","10860"
"Barnamatur, heildsala","46389"
"Barnaskólar","85200"
"Barnavagnar, framleiðsla","30920"
"Barnavagnar, heildsala","46490"
"Barnavagnar, smásala","47789"
"Basar, framleiðsla","20130"
"Battar, framleiðsla","32300"
"Baunir, ræktun","01110"
"Bárujárn, framleiðsla","25500"
"Bátageymslur","52220"
"Bátaleiga","77340"
"Bátaleiga til tómstundagamans","93290"
"Bátar, viðgerð","33150"
"Bátasmíði","30120"
"Beinamjöl, framleiðsla","10110"
"Beinar, framleiðsla","26300"
"Belgjurtir, ræktun","01110"
"Belti, framleiðsla","14190"
"Bensín, framleiðsla","19200"
"Bensín, heildsala","46710"
"Bensín, smásala","47300"
"Bensínstöðvar","47300"
"Ber, ræktun","01250"
"Ber, söfnun","02300"
"Beykisvörur úr við, framleiðsla","16240"
"Bifhjól, heild- og smásala","45400"
"Bifreiðaskoðun","71200"
"Bifreiðastæði","52210"
"Bifreiðastöðvar, rekstur","52210"
"Bifreiðaumboð","45110"
"Bik, framleiðsla","19100"
"Bikkox, framleiðsla","20130"
"Billjarðsborð, framleiðsla","32400"
"Billjarðsstofur","93290"
"Bindi, framleiðsla","14190"
"Bindi, heildsala","46420"
"Bindi, smásala","47711"
"Birfeiðaverkstæði","45201"
"Birgðageymslur","52100"
"Birtingarráðgjöf, auglýsingamiðlun","73120"
"Bílabón, heildsala","46442"
"Bílaeldsneyti, smásala","47300"
"Bílageymslur","52210"
"Bílaleiga","77110"
"Bílamálun","45202"
"Bílapartasala","46770"
"Bílar, smásala og heildsala","45110"
"Bílaréttingar","45202"
"Bílasala","45110"
"Bílasprautun","45202"
"Bílastæði, rekstur","52210"
"Bílastöðvar, rekstur","52210"
"Bílatryggingar","65120"
"Bílauppboð","45110"
"Bílaverksmiðjur","29100"
"Bílaviðgerðir","45201"
"Bílaþvottur og bónun","45204"
"Bílflautur, framleiðsla","29310"
"Bílhurðir, framleiðsla","29320"
"Bílljós, framleiðsla","29310"
"Bílskýli","52210"
"Bílsæti, framleiðsla","29320"
"Bjálkar, framleiðsla","16230"
"Bjór, framleiðsla","11050"
"Bjór, heildsala","46340"
"Bjöllur úr málmi, framleiðsla","25990"
"Björgunarfélög, þó ekki slysavarnafélög","52220"
"Björgunarskip","52220"
"Björgunarstarfsemi","84250"
"Björgunarsveitir","84250"
"Björgunarvesti úr korki, framleiðsla","32990"
"Björgunarvesti, framleiðsla","13920"
"Björgunarþjálfun","85590"
"Blaðlaukur, ræktun","01139"
"Blandaður búskapur","01500"
"Blandarar, heimilisnot, framleiðsla","27510"
"Blandarar, heimilisnot, heildsala","46430"
"Blautsápa, framleiðsla","20410"
"Blásturshljóðfæri, framleiðsla","32200"
"Bleiking textíla","13300"
"Bleiur úr bómull, heildsala","46420"
"Bleiur úr pappír, framleiðsla","17220"
"Bleiur, pappír, framleiðsla","17220"
"Blek, framleiðsla","20590"
"Blekpúðar, framleiðsla","32990"
"Blikksmiðjur","25620"
"Blossaperur, framleiðsla","27400"
"Blóðbankar","86909"
"Blóðbankar, óháðir sjúkrahúsrekstri","86909"
"Blóðmör, framleiðsla","10130"
"Blóm, heildsala","46220"
"Blómafræ, ræktun","01191"
"Blómahnappar, framleiðsla","01191"
"Blómakörfur, framleiðsla","32990"
"Blómapottar úr steypu, gifsi o.þ.h., framleiðsla","23690"
"Blómarækt","01191"
"Blómasala, smásala","47761"
"Blómaverslanir","47761"
"Blómavikur, framleiðsla","23990"
"Blómkál, ræktun","01139"
"Blómknappar, ræktun","01191"
"Blómlaukar, heildsala","46220"
"Blúndur, framleiðsla","13990"
"Blúndur, heildsala","46410"
"Blúndur, smásala","47510"
"Blússur, framleiðsla","14140"
"Blússur, heildsala","46420"
"Blússur, smásala","47711"
"Blý, framleiðsla","24430"
"Blý, nám","07290"
"Blýantar, framleiðsla","32990"
"Blöð, heildsala","46490"
"Blöðrur, gúmmí, framleiðsla","22190"
"Blöðrur, plast, framleiðsla","22229"
"Blönduð bú, jarðyrkja og búfjárrækt","01500"
"Blönduð fataverslun","47711"
"Blönduð smásala","47190"
"Blönduð umboðsverslun","46190"
"Blöndungar fyrir brunahreyfla, framleiðsla","28110"
"Boðberaþjónusta","53200"
"Boðlagnir","43210"
"Bogar, framleiðsla","32300"
"Boglampar, framleiðsla","27400"
"Bolir, framleiðsla","14140"
"Bollar úr pappa, framleiðsla","17220"
"Bollar úr plasti, framleiðsla","22290"
"Boltar fyrir íþróttir, framleiðsla","32300"
"Boltar og skrúfur, framleiðsla","25940"
"Boranir vegna bygginga og mannvirkja","43130"
"Boranir vegna vinnslu olíu og gass úr jörðu","09100"
"Borð fyrir heimili, framleiðsla","31090"
"Borðbúnaður úr leir eða postulíni, framleiðsla","23410"
"Borðbúnaður úr leir, framleiðsla","23410"
"Borðbúnaður úr plasti, framleiðsla","22290"
"Borðbúnaður úr silfri, framleiðsla","32120"
"Borðbúnaður, ekki úr góðmálmum, framleiðsla","23410"
"Borðbúnaður, framleiðsla","25710"
"Borðbúnaður, keramík, framleiðsla","23410"
"Borðbúnaður, leiga","77290"
"Borðbúnaður, plast, framleiðsla","22290"
"Borðdúkar, framleiðsla","13920"
"Borðlampar, framleiðsla","27400"
"Borðsalt, framleiðsla","10840"
"Borðspil, framleiðsla","32400"
"Borðstofuborð, framleiðsla","31090"
"Borðstofuborð, heildsala","46470"
"Borðtuskur, framleiðsla","13920"
"Borðvín, framleiðsla","11020"
"Borhamrar, framleiðsla","28240"
"Borpallar, smíði","30110"
"Borvélar, framleiðsla","28240"
"Bókaprentun","18120"
"Bókaskápar, framleiðsla","31090"
"Bókaskápar, heildsala","46470"
"Bókaskápar, smásala","47591"
"Bókasöfn","91010"
"Bókaútgáfa","58110"
"Bókband","18140"
"Bókbandsvélar, framleiðsla","28990"
"Bókfell, framleiðsla","15110"
"Bókhald","69200"
"Bókhaldsbækur, framleiðsla","17230"
"Bókhaldsþjónusta","69200"
"Bókhveiti, ræktun","01110"
"Bókmennta- og bókafélög","94999"
"Bókmenntafélög","94999"
"Bóksalar","47610"
"Bókunarþjónusta","79900"
"Bóluefni, framleiðsla","21200"
"Bóluefni, heildsala","46460"
"Bómull, spuni","13100"
"Bómullarefni, vefnaður","13200"
"Bón, framleiðsla","20410"
"Bónstöðvar","45204"
"Bragðefni, framleiðsla","10840"
"Bragðefni, heildsala","46750"
"Brauð, heildsala","46360"
"Brauð, ný, framleiðsla","10710"
"Brauðgerð","10710"
"Brauðristar, heildsala","46430"
"Brauðristar, rafknúnar, framleiðsla","27510"
"Brauðsamlokur","10890"
"Bremsur, ökutæki, framleiðsla","29320"
"Brennarar, framleiðsla","28210"
"Brennisteinn, heildsala","46750"
"Brennisteinn, nám","08910"
"Brennisteinskís, nám","08910"
"Brennisteinssaltpéturssýra, framleiðsla","20150"
"Brennivín, framleiðsla","11010"
"Brennsluofnar, framleiðsla","28210"
"Brennsluofnar, smásala","47789"
"Brennsluolía, framleiðsla","19200"
"Brennsluolía, heildsala","46710"
"Brennt dólómít, framleiðsla","23520"
"Bréfabindi úr pappa, framleiðsla","17230"
"Bréfaflokkunarvélar, framleiðsla","28230"
"Bréfaklemmur úr vír, framleiðsla","25930"
"Bréfsefni, framleiðsla","17230"
"Brimbretti, framleiðsla","32300"
"Brjóstahaldarar, framleiðsla","14140"
"Brjóstsykur, framleiðsla","10820"
"Brotajárn, heildsala","46770"
"Brunahreyflar, ekki í loftför, bíla og vélhjól, framleiðsla","28110"
"Brunaslöngur, framleiðsla","13960"
"Brunatrygging","65120"
"Brunaviðvörunarkerfi, framleiðsla","26300"
"Brunaviðvörunarkerfi, heildsala","46699"
"Brunaviðvörunarkerfi, uppsetning","43210"
"Brunaviðvörunarkerfi, viðgerð","80200"
"Brunnar, borun","42210"
"Brúarsmíði","42130"
"Brúnkol, nám","05200"
"Brúnkolstjara, framleiðsla","19100"
"Brúsar úr málmi, framleiðsla","25910"
"Brýning málma","25620"
"Brýr, gjaldtaka, rekstur","52210"
"Bræðsluofnar, framleiðsla","28210"
"Burðagrindur úr málmi, framleiðsla","25110"
"Burðapokar, pappír, framleiðsla","17210"
"Burðapokar, plast, framleiðsla","22229"
"Burðarvirki úr málmi, framleiðsla","25110"
"Burstagerð","32910"
"Burstar, framleiðsla","32910"
"Buxur, framleiðsla","14130"
"Buxur, heildsala","46420"
"Buxur, smásala","47711"
"Búðarborð, framleiðsla","31010"
"Búklýsi, bræðsla","10203"
"Búsáhaldaverslanir","47599"
"Búsáhöld, heildsala","46490"
"Búsáhöld, plast, framleiðsla","22290"
"Búsáhöld, smásala","47599"
"Búsáhöld, tré, framleiðsla","16290"
"Bygg, ræktun","01110"
"Byggingar og mannvirkjagerð, mælingar","71122"
"Byggingar og mannvirkjagerð, verkfræðiráðgjöf","71121"
"Byggingar, niðurrif","43110"
"Byggingar, uppsetning forsmíðaðra eininga","41200"
"Byggingarefni úr gifsi, framleiðsla","23620"
"Byggingarefni úr trefjasementi, framleiðsla","23650"
"Byggingarefni, brendur leir, framleiðsla","23320"
"Byggingarefni, gifs, framleiðsla","23620"
"Byggingarefni, heildsala","46730"
"Byggingarefni, jurtahlutir, framleiðsla","23650"
"Byggingarefni, smásala","47521"
"Byggingarefni, steypa, framleiðsla","23630"
"Byggingarefni, umboðsverslun","46130"
"Byggingareiningar úr málmi, framleiðsla","25110"
"Byggingareiningar úr plasti, framleiðsla","22230"
"Byggingareiningar úr steinsteypu, framleiðsla","23610"
"Byggingarfræðingar","71110"
"Byggingaríhlutir úr málmi, framleiðsla","25110"
"Byggingaríhlutir úr plasti, framleiðsla","22230"
"Byggingarkranar með stjórnanda, leiga","43990"
"Byggingarsvæði, framræsla","43120"
"Byggingartimbur, framleiðsla","16230"
"Byggingartæknifræðingar","71121"
"Byggingarverkefni, þróun","41100"
"Byggingarverkfræðingar","71121"
"Byggingarvörur úr brenndum leir, framleiðsla","23320"
"Byggingarvörur úr málmi, framleiðsla","25120"
"Byggingarvörur úr plasti, framleiðsla","22230"
"Byggingarvörur, heildsala","46730"
"Byggingarvörur, smásala","47521"
"Byggingarvöruverslanir","47521"
"Byggingasteinar, nám","08110"
"Byggingavörur, plast, framleiðsla","22230"
"Bylgjupappi, framleiðsla","17210"
"Bylgjupappi, heildsala","46760"
"Býflugnarækt","01499"
"Bæklunarlækningar, búnaður til, framleiðsla","32500"
"Bækur, heildsala","46490"
"Bækur, prentun","18120"
"Bækur, smásala","47610"
"Bækur, útgáfa","58110"
"Bændaafleysingar","01620"
"Bætiefni í olíur, framleiðsla","20590"
"Bökunarvélar, framleiðsla","28930"
"Bökunarvörur, heildsala","46389"
"Bökur með fyllingu, framleiðsla","10890"
"Bökur, framleiðsla","10710"
"Chili-pipar, ræktun","01280"
"Dagatöl, framleiðsla","18120"
"Dagatöl, heildsala","46490"
"Dagblaðadreifing","53200"
"Dagblaðapappír, framleiðsla","17120"
"Dagblöð, dreifing","53200"
"Dagblöð, heildsala","46490"
"Dagblöð, prentun","18110"
"Dagblöð, smásala","47620"
"Dagblöð, útgáfa","58130"
"Dagmæður","88911"
"Dagvistun barna í heimhúsum","88911"
"Dagvistun barna í leikskólum","85100"
"Dagvistun fullorðinna","88100"
"Dagvistun fyrir aldaðra og fatlaða","88100"
"Dansskólar","85520"
"Dansstaðir","56300"
"Dekk, bílar, heildsala","45310"
"Dekk, bílar, smásala","45320"
"Demantaslípun","32120"
"Derhúfur, framleiðsla","14190"
"Diskar, pappi, framleiðsla","17220"
"Diskaþurrkur, framleiðsla","13920"
"Diskótek","56300"
"Díselhreyflar í skip og báta, viðgerðir","33120"
"Díselolía, framleiðsla","19200"
"Díselolía, heildsala","46710"
"Díselolía, smásala","47300"
"Dómstólar","84230"
"Dósaopnarar, rafknúnir, framleiðsla","27510"
"Dósir úr málmi, framleiðsla","25910"
"Dósir, málmur, framleiðsla","25920"
"Dragtir, framleiðsla","14130"
"Dráttarbátar, smíði","30110"
"Dráttarbátaþjónusta","52220"
"Dráttarbílaþjónusta","52210"
"Dráttarvélar með stjórnanda, leiga","43990"
"Dráttarvélar til landbúnaðarnota, framleiðsla","28300"
"Dráttarvélar til landbúnaðarnota, heildsala","46610"
"Dráttarvélar til mannvirkjagerðar, framleiðsla","28920"
"Dráttarvélar, heildsala","46610"
"Dráttarvélar, leiga","77310"
"Dreifibúnaður fyrir raforku, framleiðsla","27120"
"Dreifing auglýsingaefnis","53200"
"Dreifing blaða og tímarita","53200"
"Dreifispennar, framleiðsla","27110"
"Dreifispennar, heildsala","46699"
"Dreifispennar, viðgerð","33140"
"Drifbúnaður, framleiðsla","28150"
"Drifbúnaður, viðgerð","33120"
"Drifreimar úr gúmmíi, framleiðsla","22190"
"Drifreimar úr plasti, framleiðsla","22290"
"Drykkjarvara, heildsala","46340"
"Drykkjarvara, umboðsverslun","46179"
"Drykkjarvörur, framleiðsla","110"
"Drykkjarvörur, smásala","47250"
"Dúfnabaunir, ræktun","01110"
"Dúkar úr pappír, framleiðsla","17220"
"Dúkkur, framleiðsla","32400"
"Dúkkur, heildsala","46490"
"Dúklagning","43330"
"Dúkur úr glertrefjum, framleiðsla","13200"
"Dúkur, ofinn, framleiðsla","13200"
"Dúkur, prjónaður eða heklaður, framleiðsla","13910"
"Dúnhreinsun","01620"
"Dúnn, heildsala","46410"
"Dúrru, ræktun","01110"
"Dvalarheimili á sviði þroskahömlunar","87200"
"Dvalarheimili fyrir aldraða","87301"
"Dvalarheimili fyrir þroskahefta","87200"
"Dvalarheimili með hjúkrun","87100"
"DVD spilarar, smásala","47430"
"Dyrarammar, málmur, framleiðsla","25120"
"Dyrasími, framleiðsla","26300"
"Dyrasími, heildsala","46520"
"Dýnur, framleiðsla","31030"
"Dýr, lifandi, heildsala","46230"
"Dýr, lifandi, umboðsverslun","46110"
"Dýrafeiti, ekki ætluð til manneldis, framleiðsla","10410"
"Dýrafeiti, ætluð til manneldis, framleiðsla","10110"
"Dýrafóður, heildsala","46210"
"Dýragarðar","91040"
"Dýrahótel","96090"
"Dýralækningar","75000"
"Dýraolía, ekki til manneldis, framleiðsla","10410"
"Dýraspítalar","75000"
"Dýraveiðar","01700"
"Dýraverndarfélög","94999"
"Dýraverndunarsamtök","94999"
"Dælur, heildsala","46699"
"Dælustöðvar, bygging","42210"
"Dælustöðvar, rekstur","49500"
"Dömubindi, framleiðsla","17220"
"Edik, framleiðsla","10840"
"Eðalgös, framleiðsla","20110"
"Eðalsteinar, heildsala","46760"
"Eðalsteinar, slípun","32120"
"Efnaafurðir til nota í landbúnað, framleiðsla","20200"
"Efnaafurðir til nota í landbúnað, heildsala","46750"
"Efnahvatar, framleiðsla","20590"
"Efnalaugar","96010"
"Efnaverkfræðingar","71121"
"Efnavörur til iðnaðarnota, umboðsverslun","46120"
"Efnavörur, heildsala","46750"
"Efnavörur, umboðsverslun","46120"
"Egg, framleiðsla","01472"
"Egg, heildsala","46330"
"Eggaldin, ræktun","01131"
"Eggjabakkar, framleiðsla","17290"
"Eggjabakkar, heildsala","46760"
"Eggjaduft, framleiðsla","10890"
"Eignarhaldsfélög, starfsemi","64200"
"Eignarleiga","64910"
"Eignastýring","66300"
"Eignatryggingar","65120"
"Eimað vatn, framleiðsla","20130"
"Eimaðir áfengir drykkir, framleiðsla","11010"
"Eiming koltjöru","20140"
"Eimreiðar, framleiðsla","30200"
"Einangrarar úr leir og postulíni, framleiðsla","23430"
"Einangrun í hús og önnur mannvirki","43290"
"Einangrunarefni úr plasti, framleiðsla","22230"
"Einangrunargler, framleiðsla","23120"
"Einangrunartengi, framleiðsla","22290"
"Einingar í innréttingar, heildsala","46730"
"Einkakennsla","85590"
"Einkaleyfi, miðlun","74900"
"Einkaleyfi, ráðgjöf","69100"
"Einkaþjálfarar","85510"
"Einkennisbúningar, framleiðsla","14120"
"Einkennisbúningar, heildsala","46420"
"Einkennisbúningar, smásala","47711"
"Einkennisföt, framleiðsla","14120"
"Einnota borðbúnaður, heildsala","46490"
"Einþráðungar úr tilbúnum trefjum, framleiðsla","20600"
"Eiturefni, fjarlæging","39000"
"Eldavélar til heimilisnota, framleiðsla","27510"
"Eldavélar, ekki rafmagns, framleiðsla","27520"
"Eldavélar, framleiðsla","27510"
"Eldavélar, heildsala","46430"
"Eldavélar, smásala","47540"
"Eldfastar vörur, framleiðsla","23200"
"Eldföst leirvara, framleiðsla","23200"
"Eldhúsinnréttingar, framleiðsla","31020"
"Eldhúsinnréttingar, uppsetning","43320"
"Eldhúsrúllur, framleiðsla","17220"
"Eldhúsrúllur, heildsala","46490"
"Eldhústæki, framleiðsla","25990"
"Eldhústæki, handknúin, framleiðsla","25990"
"Eldhúsvaskar, málmur, framleiðsla","25990"
"Eldhúsvaskar, trefjasement, framleiðsla","23650"
"Eldingaleiðarar, framleiðsla","27330"
"Eldiviður, heildsala","46710"
"Eldiviður, smásala","47789"
"Eldneytiskögglar, framleiðsla","19200"
"Eldsmíði","25500"
"Eldsneyti, fljótandi, framleiðsla","19200"
"Eldsneyti, fljótandi, heildsala","46710"
"Eldsneyti, framleiðsla","19200"
"Eldsneyti, gaskennt, heildsala","46710"
"Eldsneyti, heildsala","46710"
"Eldsneyti, smásala","47300"
"Eldsneyti, umboðsverslun","46120"
"Eldsneytisstangir í kjarnkljúfa, framleiðsla","24460"
"Eldspýtur, framleiðsla","20510"
"Eldstæði, framleiðsla","27520"
"Elliheimili með hjúkrun","87100"
"Elliheimili með lágmarkshjúkrun","87301"
"Endur, eldi","01471"
"Endurbræðsla brotajárns","24100"
"Endurhæfingarstofnanir fyrir áfengissjúka","87200"
"Endurhæfingarstofnanir fyrir fíkniefnaneytendur","87200"
"Endurhæfingarstöðvar fyrir fatlaða","88100"
"Endurhæfingarstöðvar með læknisþjónustu","86100"
"Endurnýting flokkaðra efna","38320"
"Endurskoðun","69200"
"Endurtrygging","65200"
"Endurvinnsluefni, heildsala","46770"
"Ensím, framleiðsla","20140"
"Eplasafi, framleiðsla","11070"
"Eplasafi, hreinn, framleiðsla","10320"
"Eplavín, framleiðsla","11030"
"Epli, ræktun","01240"
"Epoxýresín, framleiðsla","20160"
"Erfðaskrár, gerð","69100"
"Erlend sendiráð","99000"
"Esparettur, ræktun","01199"
"Eyðublöð, framleiðsla","17230"
"Eyrnatappar, framleiðsla","32990"
"Fagfélög, starfsemi","94120"
"Fagtímarit, útgáfa","58140"
"Fallhamrar, framleiðsla","28920"
"Fallhlífar, framleiðsla","13920"
"Fangelsi","84230"
"Farangurskerrur, framleiðsla","30990"
"Fararstjórar","79900"
"Farartæki fyrir hreyfihamlaða, framleiðsla","30920"
"Farartæki fyrir hreyfihamlaða, heildsala","46460"
"Farfuglaheimili","55200"
"Farsímar, framleiðsla","26300"
"Farsímar, heildsala","46520"
"Farsímar, smásala","47420"
"Farsímar, viðgerðir","95120"
"Farsímaþjónusta","61200"
"Farþegaflutningar á skipgengum vatnaleiðum","50300"
"Farþegaflutningar, áætlunarferðir með rútum","49390"
"Farþegaflutningar, áætlunarflug","51101"
"Farþegaflutningar, járnbrautalestir","49100"
"Farþegaflutningar, leiguflug","51102"
"Farþegavagnar, lestir framleiðsla","30200"
"Fasteignamiðlun","68310"
"Fasteignarekstur","68320"
"Fasteignasalar","68310"
"Fasteignaumsýsla","81100"
"Fasteignir, kaup og sala á eigin reikning","68100"
"Fataburstar, framleiðsla","32910"
"Fataefni, heildsala","46410"
"Fataefni, smásala","47510"
"Fatahönnun","74100"
"Fataskápar, framleiðsla","31090"
"Fataverslun","47711"
"Fataviðgerðir","95290"
"Fatnaður úr gúmmíi","22190"
"Fatnaður úr plasti, framleiðsla","22290"
"Fatnaður, heildsala","46420"
"Fatnaður, leður, framleiðsla","14110"
"Fatnaður, loðskinn, framleiðsla","14200"
"Fatnaður, notaður, smásala","47790"
"Fatnaður, prjónaður, framleiðsla","14390"
"Fatnaður, smásala","47711"
"Fatnaður, smásala úr söluvögnum og á mörkuðum","47820"
"Fatnaður, umboðsverslun","46160"
"Fatnaður, undirföt, framleiðsla","14140"
"Fatnaður, vinnuföt, framleiðsla","14120"
"Fatnaður, yfir-, framleiðsla","14130"
"Faxtæki, framleiðsla","26300"
"Faxtæki, heildsala","46520"
"Faxtæki, smásala","47420"
"Faxtæki, viðgerðir","95120"
"Fánar, framleiðsla","13920"
"Feiti fyrir vélar, heildsala","46710"
"Feiti til manneldis, framleiðsla","10420"
"Feiti til manneldis, heildsala","46330"
"Feiti, ekki til manneldis, heildsala","46210"
"Feiti, framleiðsla","10410"
"Feiti, heildsala","46330"
"Feldspat, nám","08990"
"Felgubönd fyrir sólningu hjólbarða, framl.","22110"
"Fellihýsi og tjaldvagnar, geymsla","52210"
"Fellihýsi, heild- og smásala","45191"
"Ferðafélög","94999"
"Ferðaskipuleggjendur","79120"
"Ferðaskrifstofur","79110"
"Ferðatívolí","93210"
"Ferðatrygging","65120"
"Ferðatöskur, framleiðsla","15120"
"Ferðatöskur, heildsala","46490"
"Ferðatöskur, smásala","47722"
"Ferjur, rekstur","50100"
"Ferjur, smíði","30110"
"Ferrófosfór, framleiðsla","24100"
"Ferrómangan, kolefnisríkt, framleiðsla","24100"
"Ferskvatnsveiði í atvinnuskyni","03120"
"Félagsmálastofnanir sveitarfélaga","84120"
"Félagsmiðstöðvar fyrir aldraða","88100"
"Félagsmiðstöðvar fyrir börn og unglinga","88990"
"Félagsráðgjafar, sjálfstætt starfandi","88990"
"Félagsráðgjöf","88990"
"Félög atvinnurekenda","94110"
"Fiður og dún, heildsala","46410"
"Fiðurhreinsun","01620"
"Filmur, framköllun","74200"
"Filmur, framleiðsla","20590"
"Fimleikatæki, framleiðsla","32300"
"Fiskabúr, framleiðsla","32990"
"Fiskafurðir, heildsala","46381"
"Fiskbúðir","47230"
"Fiskeldi í ferskvatni","03220"
"Fiskeldi í sjó","03210"
"Fiskeldisfóður, framleiðsla","10910"
"Fiskhausar, hersla","10202"
"Fiskiker úr plasti, framleiðsla","22221"
"Fiskiskip, smíði","30110"
"Fiskkassar úr plasti, framleiðsla","22221"
"Fiskmarkaðir","46172"
"Fiskmjölsverksmiðjur","10203"
"Fiskréttir, tilbúnir, framleiðsla","10850"
"Fiskur og fiskafurðir, umboðsverslun","46171"
"Fiskur, heildsala","46381"
"Fiskur, reyking","10209"
"Fiskur, smásala","47230"
"Fiskur, söltun","10202"
"Fiskútflutningur","46381"
"Fiskveiðar","031"
"Fiskveiðar, búnaður, heildsala","46691"
"Fjaðrir fyrir farartæki, framleiðsla","25930"
